COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE;LONGUEUR;NOMENCLATURE;COMMENTAIRES
TYPEQU;Type d'équipement;A128;FRANCE SERVICES;CHAR;4;;
TYPEQU;Type d'équipement;A129;MAIRIE;CHAR;4;;
TYPEQU;Type d'équipement;A130;BUREAU D’AIDE JURIDICTIONNELLE;CHAR;4;;
TYPEQU;Type d'équipement;A131;TRIBUNAL JUDICIAIRE;CHAR;4;;
TYPEQU;Type d'équipement;A132;TRIBUNAL DE PROXIMITÉ;CHAR;4;;
TYPEQU;Type d'équipement;A133;DÉCHÈTERIE;CHAR;4;;
TYPEQU;Type d'équipement;A134;COUR CRIMINELLE DEPARTEMENTALE;CHAR;4;;
TYPEQU;Type d'équipement;A135;COUR D'ASSISES;CHAR;4;;
TYPEQU;Type d'équipement;A136;JURIDICTION ADMINISTRATIVE;CHAR;4;;
TYPEQU;Type d'équipement;A137;TRIBUNAL CORRECTIONNEL;CHAR;4;;
TYPEQU;Type d'équipement;A138;TRIBUNAL DE POLICE;CHAR;4;;
TYPEQU;Type d'équipement;A139;TRIBUNAL POUR ENFANTS;CHAR;4;;
TYPEQU;Type d'équipement;A203;BANQUE, CAISSE D’ÉPARGNE;CHAR;4;;
TYPEQU;Type d'équipement;A205;SERVICES FUNÉRAIRES;CHAR;4;;
TYPEQU;Type d'équipement;A206;BUREAU DE POSTE;CHAR;4;;
TYPEQU;Type d'équipement;A207;RELAIS POSTE;CHAR;4;;
TYPEQU;Type d'équipement;A208;AGENCE POSTALE;CHAR;4;;
TYPEQU;Type d'équipement;A301;RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE;CHAR;4;;
TYPEQU;Type d'équipement;A302;CONTRÔLE TECHNIQUE AUTOMOBILE;CHAR;4;;
TYPEQU;Type d'équipement;A303;LOCATION AUTO-UTILITAIRES LÉGERS;CHAR;4;;
TYPEQU;Type d'équipement;A304;ÉCOLE DE CONDUITE;CHAR;4;;
TYPEQU;Type d'équipement;A401;MAÇON;CHAR;4;;
TYPEQU;Type d'équipement;A402;PLÂTRIER PEINTRE;CHAR;4;;
TYPEQU;Type d'équipement;A403;MENUISIER CHARPENTIER SERRURIER;CHAR;4;;
TYPEQU;Type d'équipement;A404;PLOMBIER COUVREUR CHAUFFAGISTE;CHAR;4;;
TYPEQU;Type d'équipement;A405;ÉLECTRICIEN;CHAR;4;;
TYPEQU;Type d'équipement;A406;ENTREPRISE GÉNÉRALE DU BÂTIMENT;CHAR;4;;
TYPEQU;Type d'équipement;A501;COIFFURE;CHAR;4;;
TYPEQU;Type d'équipement;A502;VÉTÉRINAIRE;CHAR;4;;
TYPEQU;Type d'équipement;A503;AGENCE DE TRAVAIL TEMPORAIRE;CHAR;4;;
TYPEQU;Type d'équipement;A504;RESTAURANT- RESTAURATION RAPIDE;CHAR;4;;
TYPEQU;Type d'équipement;A505;AGENCE IMMOBILIÈRE;CHAR;4;;
TYPEQU;Type d'équipement;A506;PRESSING-LAVERIE AUTOMATIQUE;CHAR;4;;
TYPEQU;Type d'équipement;A507;INSTITUT DE BEAUTÉ-ONGLERIE;CHAR;4;;
TYPEQU;Type d'équipement;B103;GRANDE SURFACE DE BRICOLAGE;CHAR;4;;
TYPEQU;Type d'équipement;B104;HYPERMARCHÉ ET GRAND MAGASIN;CHAR;4;;
TYPEQU;Type d'équipement;B105;SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE;CHAR;4;;
TYPEQU;Type d'équipement;B201;SUPÉRETTE;CHAR;4;;
TYPEQU;Type d'équipement;B202;ÉPICERIE;CHAR;4;;
TYPEQU;Type d'équipement;B204;BOUCHERIE CHARCUTERIE;CHAR;4;;
TYPEQU;Type d'équipement;B205;PRODUITS SURGELÉS;CHAR;4;;
TYPEQU;Type d'équipement;B206;POISSONNERIE;CHAR;4;;
TYPEQU;Type d'équipement;B207;BOULANGERIE-PÂTISSERIE;CHAR;4;;
TYPEQU;Type d'équipement;B208;COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES;CHAR;4;;
TYPEQU;Type d'équipement;B209;COMMERCE DE BOISSONS;CHAR;4;;
TYPEQU;Type d'équipement;B210;AUTRES COMMERCES ALIMENTAIRES;CHAR;4;;
TYPEQU;Type d'équipement;B302;MAGASIN DE VÊTEMENTS;CHAR;4;;
TYPEQU;Type d'équipement;B303;MAGASIN D’ÉQUIPEMENTS DU FOYER;CHAR;4;;
TYPEQU;Type d'équipement;B304;MAGASIN DE CHAUSSURES;CHAR;4;;
TYPEQU;Type d'équipement;B306;MAGASIN DE MEUBLES;CHAR;4;;
TYPEQU;Type d'équipement;B307;MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS;CHAR;4;;
TYPEQU;Type d'équipement;B308;MAGASIN DE REVÊTEMENTS MURS ET SOLS;CHAR;4;;
TYPEQU;Type d'équipement;B309;DROGUERIE QUINCAILLERIE BRICOLAGE;CHAR;4;;
TYPEQU;Type d'équipement;B310;PARFUMERIE-COSMÉTIQUE;CHAR;4;;
TYPEQU;Type d'équipement;B311;HORLOGERIE-BIJOUTERIE;CHAR;4;;
TYPEQU;Type d'équipement;B312;FLEURISTE-JARDINERIE-ANIMALERIE;CHAR;4;;
TYPEQU;Type d'équipement;B313;MAGASIN D’OPTIQUE;CHAR;4;;
TYPEQU;Type d'équipement;B315;MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE;CHAR;4;;
TYPEQU;Type d'équipement;B316;STATION-SERVICE;CHAR;4;;
TYPEQU;Type d'équipement;B317;COMMERCE DE TISSUS ET MERCERIE;CHAR;4;;
TYPEQU;Type d'équipement;B318;COMMERCE DE JEUX ET JOUETS;CHAR;4;;
TYPEQU;Type d'équipement;B319;MAROQUINERIE ET ARTICLES DE VOYAGE;CHAR;4;;
TYPEQU;Type d'équipement;B320;COMMERCE DE COMBUSTIBLES DOMESTIQUES;CHAR;4;;
TYPEQU;Type d'équipement;B321;MAGASIN ÉLECTROMÉNAGER, MATÉRIEL AUDIO VIDÉO INFORMATIQUE;CHAR;4;;
TYPEQU;Type d'équipement;B322;MAGASIN DE MATÉRIELS DE TÉLÉCOMMUNICATION;CHAR;4;;
TYPEQU;Type d'équipement;B323;COMMERCE DE BIENS D’OCCASION;CHAR;4;;
TYPEQU;Type d'équipement;B324;LIBRAIRIE;CHAR;4;;
TYPEQU;Type d'équipement;B325;PAPETERIE ET PRESSE;CHAR;4;;
TYPEQU;Type d'équipement;B326;STATION DE RECHARGE DE VÉHICULES ÉLECTRIQUES;CHAR;4;;
TYPEQU;Type d'équipement;C107;ÉCOLE MATERNELLE;CHAR;4;;
TYPEQU;Type d'équipement;C108;ÉCOLE PRIMAIRE;CHAR;4;;
TYPEQU;Type d'équipement;C109;ÉCOLE ÉLÉMENTAIRE;CHAR;4;;
TYPEQU;Type d'équipement;C201;COLLÈGE;CHAR;4;;
TYPEQU;Type d'équipement;C301;LYCÉE D’ENSEIGNEMENT GÉNÉRAL ET/OU TECHNOLOGIQUE;CHAR;4;;
TYPEQU;Type d'équipement;C302;LYCÉE D’ENSEIGNEMENT PROFESSIONNEL;CHAR;4;;
TYPEQU;Type d'équipement;C303;LYCÉE D’ENSEIGNEMENT TECHNIQUE ET/OU PROFESSIONNEL AGRICOLE;CHAR;4;;
TYPEQU;Type d'équipement;C304;SGT SECTION D’ENSEIGNEMENT GÉNÉRAL ET TECHNOLOGIQUE;CHAR;4;;
TYPEQU;Type d'équipement;C305;SEP SECTION D’ENSEIGNEMENT PROFESSIONNEL;CHAR;4;;
TYPEQU;Type d'équipement;C401;STS SECTION TECHNICIEN SUPÉRIEUR, CPGE CLASSE PRÉPARATOIRE AUX GRANDES ÉCOLES;CHAR;4;;
TYPEQU;Type d'équipement;C403;FORMATION COMMERCE;CHAR;4;;
TYPEQU;Type d'équipement;C409;AUTRE FORMATION POST BAC NON UNIVERSITAIRE;CHAR;4;;
TYPEQU;Type d'équipement;C410;ÉCOLE DE FORMATION AUX PROFESSIONS SANITAIRES ET SOCIALES;CHAR;4;;
TYPEQU;Type d'équipement;C501;UFR;CHAR;4;;
TYPEQU;Type d'équipement;C502;INSTITUT UNIVERSITAIRE;CHAR;4;;
TYPEQU;Type d'équipement;C503;ÉCOLE D’INGÉNIEURS;CHAR;4;;
TYPEQU;Type d'équipement;C504;ENSEIGNEMENT GÉNÉRAL SUPÉRIEUR PRIVÉ;CHAR;4;;
TYPEQU;Type d'équipement;C505;ÉCOLE D’ENSEIGNEMENT SUPÉRIEUR AGRICOLE;CHAR;4;;
TYPEQU;Type d'équipement;C509;AUTRE ENSEIGNEMENT SUPÉRIEUR;CHAR;4;;
TYPEQU;Type d'équipement;C602;GRETA;CHAR;4;;
TYPEQU;Type d'équipement;C603;CENTRE DISPENSANT DE LA FORMATION CONTINUE AGRICOLE;CHAR;4;;
TYPEQU;Type d'équipement;C604;FORMATION AUX MÉTIERS DU SPORT;CHAR;4;;
TYPEQU;Type d'équipement;C610;ORGANISME DE FORMATION EN APPRENTISSAGE;CHAR;4;;
TYPEQU;Type d'équipement;C701;RÉSIDENCE UNIVERSITAIRE;CHAR;4;;
TYPEQU;Type d'équipement;C702;RESTAURANT UNIVERSITAIRE;CHAR;4;;
TYPEQU;Type d'équipement;D101;ÉTABLISSEMENT DE SOINS DE COURTE DURÉE;CHAR;4;;
TYPEQU;Type d'équipement;D102;ÉTABLISSEMENT DE SOINS DE SUITE ET DE RÉADAPTATION;CHAR;4;;
TYPEQU;Type d'équipement;D103;ÉTABLISSEMENT DE SOINS DE LONGUE DURÉE;CHAR;4;;
TYPEQU;Type d'équipement;D104;ÉTABLISSEMENT PSYCHIATRIQUE;CHAR;4;;
TYPEQU;Type d'équipement;D105;CENTRE DE LUTTE CONTRE LE CANCER;CHAR;4;;
TYPEQU;Type d'équipement;D106;URGENCES;CHAR;4;;
